,antecedente,consecuente,soporte,confianza,lift
0,frozenset({'ENTIDAD=TAMAULIPAS'}),frozenset({'ORIGEN_REPORTE=PROCURADURIA GENERAL DE JUSTICIA DEL ESTADO DE TAMAULIPAS'}),0.08967263438571332,0.8925066904549509,9.887881114186348
1,frozenset({'ORIGEN_REPORTE=PROCURADURIA GENERAL DE JUSTICIA DEL ESTADO DE TAMAULIPAS'}),frozenset({'ENTIDAD=TAMAULIPAS'}),0.08967263438571332,0.9934629706247414,9.887881114186348
2,frozenset({'ENTIDAD=TAMAULIPAS'}),"frozenset({'ORIGEN_REPORTE=PROCURADURIA GENERAL DE JUSTICIA DEL ESTADO DE TAMAULIPAS', 'ESTATUS_VICTIMA=DESAPARECIDA'})",0.05393354097111743,0.5367975022301517,9.885860685156578
3,"frozenset({'ORIGEN_REPORTE=PROCURADURIA GENERAL DE JUSTICIA DEL ESTADO DE TAMAULIPAS', 'ESTATUS_VICTIMA=DESAPARECIDA'})",frozenset({'ENTIDAD=TAMAULIPAS'}),0.05393354097111743,0.9932599724896836,9.885860685156576
4,"frozenset({'ENTIDAD=TAMAULIPAS', 'ESTATUS_VICTIMA=DESAPARECIDA'})",frozenset({'ORIGEN_REPORTE=PROCURADURIA GENERAL DE JUSTICIA DEL ESTADO DE TAMAULIPAS'}),0.05393354097111743,0.886447336115885,9.820750888750311
5,frozenset({'ORIGEN_REPORTE=PROCURADURIA GENERAL DE JUSTICIA DEL ESTADO DE TAMAULIPAS'}),"frozenset({'ENTIDAD=TAMAULIPAS', 'ESTATUS_VICTIMA=DESAPARECIDA'})",0.05393354097111743,0.5975175837815474,9.820750888750311
6,frozenset({'ENTIDAD=JALISCO'}),frozenset({'ORIGEN_REPORTE=FISCALIA GENERAL DE JALISCO'}),0.07652722071597691,0.6917831341570455,8.972272448211212
7,frozenset({'ORIGEN_REPORTE=FISCALIA GENERAL DE JALISCO'}),frozenset({'ENTIDAD=JALISCO'}),0.07652722071597691,0.992540928024799,8.972272448211212
8,frozenset({'ENTIDAD=ESTADO DE MÉXICO'}),frozenset({'ORIGEN_REPORTE=COMISION LOCAL DE BUSQUEDA DE PERSONAS DEL ESTADO DE MEXICO'}),0.052073763696251316,0.48605688789737866,8.931745614866365
9,frozenset({'ORIGEN_REPORTE=COMISION LOCAL DE BUSQUEDA DE PERSONAS DEL ESTADO DE MEXICO'}),frozenset({'ENTIDAD=ESTADO DE MÉXICO'}),0.052073763696251316,0.956903650837222,8.931745614866363
10,"frozenset({'ESTATUS_VICTIMA=CONFIDENCIAL', 'ENTIDAD=JALISCO', 'SEXO=CONFIDENCIAL'})",frozenset({'MUNICIPIO=CONFIDENCIAL'}),0.07468985039622966,1.0,2.7241042544100593
11,"frozenset({'MUNICIPIO=CONFIDENCIAL', 'SEXO=CONFIDENCIAL'})",frozenset({'ESTATUS_VICTIMA=CONFIDENCIAL'}),0.3670931457124291,1.0,2.7241042544100593
12,"frozenset({'MUNICIPIO=CONFIDENCIAL', 'ENTIDAD=JALISCO'})",frozenset({'SEXO=CONFIDENCIAL'}),0.07468985039622966,1.0,2.7241042544100593
13,"frozenset({'ENTIDAD=JALISCO', 'SEXO=CONFIDENCIAL'})",frozenset({'ESTATUS_VICTIMA=CONFIDENCIAL'}),0.07468985039622966,1.0,2.7241042544100593
14,"frozenset({'ESTATUS_VICTIMA=CONFIDENCIAL', 'ENTIDAD=JALISCO'})",frozenset({'SEXO=CONFIDENCIAL'}),0.07468985039622966,1.0,2.7241042544100593
15,frozenset({'MUNICIPIO=CONFIDENCIAL'}),frozenset({'SEXO=CONFIDENCIAL'}),0.3670931457124291,1.0,2.7241042544100593
