,antecedente,consecuente,soporte,confianza,lift
10,"ESTATUS_VICTIMA=CONFIDENCIAL', 'ENTIDAD=JALISCO', 'SEXO=CONFIDENCIAL",MUNICIPIO=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
11,"MUNICIPIO=CONFIDENCIAL', 'SEXO=CONFIDENCIAL",ESTATUS_VICTIMA=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
12,"MUNICIPIO=CONFIDENCIAL', 'ENTIDAD=JALISCO",SEXO=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
13,"ENTIDAD=JALISCO', 'SEXO=CONFIDENCIAL",ESTATUS_VICTIMA=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
14,"ESTATUS_VICTIMA=CONFIDENCIAL', 'ENTIDAD=JALISCO",SEXO=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
15,MUNICIPIO=CONFIDENCIAL,SEXO=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
16,SEXO=CONFIDENCIAL,MUNICIPIO=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
17,SEXO=CONFIDENCIAL,ESTATUS_VICTIMA=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
18,ESTATUS_VICTIMA=CONFIDENCIAL,SEXO=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
19,MUNICIPIO=CONFIDENCIAL,ESTATUS_VICTIMA=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
20,ESTATUS_VICTIMA=CONFIDENCIAL,MUNICIPIO=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
21,"ESTATUS_VICTIMA=CONFIDENCIAL', 'MUNICIPIO=CONFIDENCIAL",SEXO=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
22,SEXO=CONFIDENCIAL,"ESTATUS_VICTIMA=CONFIDENCIAL', 'MUNICIPIO=CONFIDENCIAL",0.3670931457124291,1.0,2.7241042544100598
23,MUNICIPIO=CONFIDENCIAL,"ESTATUS_VICTIMA=CONFIDENCIAL', 'SEXO=CONFIDENCIAL",0.3670931457124291,1.0,2.7241042544100598
24,"ESTATUS_VICTIMA=CONFIDENCIAL', 'SEXO=CONFIDENCIAL",MUNICIPIO=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
25,"ENTIDAD=JALISCO', 'SEXO=CONFIDENCIAL",MUNICIPIO=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
26,"ESTATUS_VICTIMA=CONFIDENCIAL', 'MUNICIPIO=CONFIDENCIAL', 'ENTIDAD=JALISCO",SEXO=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
27,"ESTATUS_VICTIMA=CONFIDENCIAL', 'ENTIDAD=JALISCO","MUNICIPIO=CONFIDENCIAL', 'SEXO=CONFIDENCIAL",0.0746898503962296,1.0,2.7241042544100598
28,"MUNICIPIO=CONFIDENCIAL', 'ENTIDAD=JALISCO","ESTATUS_VICTIMA=CONFIDENCIAL', 'SEXO=CONFIDENCIAL",0.0746898503962296,1.0,2.7241042544100598
29,"ESTATUS_VICTIMA=CONFIDENCIAL', 'ENTIDAD=JALISCO",MUNICIPIO=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
30,"MUNICIPIO=CONFIDENCIAL', 'ENTIDAD=JALISCO",ESTATUS_VICTIMA=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
31,"MUNICIPIO=CONFIDENCIAL', 'ENTIDAD=JALISCO', 'SEXO=CONFIDENCIAL",ESTATUS_VICTIMA=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
32,ESTATUS_VICTIMA=CONFIDENCIAL,"MUNICIPIO=CONFIDENCIAL', 'SEXO=CONFIDENCIAL",0.3670931457124291,1.0,2.7241042544100598
33,"ENTIDAD=JALISCO', 'SEXO=CONFIDENCIAL","ESTATUS_VICTIMA=CONFIDENCIAL', 'MUNICIPIO=CONFIDENCIAL",0.0746898503962296,1.0,2.7241042544100598
34,ENTIDAD=JALISCO,SEXO=CONFIDENCIAL,0.0746898503962296,0.6751738572682466,1.8392439770508808
35,ENTIDAD=JALISCO,"MUNICIPIO=CONFIDENCIAL', 'SEXO=CONFIDENCIAL",0.0746898503962296,0.6751738572682466,1.8392439770508808
36,ENTIDAD=JALISCO,MUNICIPIO=CONFIDENCIAL,0.0746898503962296,0.6751738572682466,1.8392439770508808
37,ENTIDAD=JALISCO,ESTATUS_VICTIMA=CONFIDENCIAL,0.0746898503962296,0.6751738572682466,1.8392439770508808
38,ENTIDAD=JALISCO,"ESTATUS_VICTIMA=CONFIDENCIAL', 'MUNICIPIO=CONFIDENCIAL",0.0746898503962296,0.6751738572682466,1.8392439770508808
39,ENTIDAD=JALISCO,"ESTATUS_VICTIMA=CONFIDENCIAL', 'SEXO=CONFIDENCIAL",0.0746898503962296,0.6751738572682466,1.8392439770508808
40,ENTIDAD=JALISCO,"ESTATUS_VICTIMA=CONFIDENCIAL', 'MUNICIPIO=CONFIDENCIAL', 'SEXO=CONFIDENCIAL",0.0746898503962296,0.6751738572682466,1.8392439770508808
41,GRUPO_EDAD=50+,SEXO=HOMBRE,0.0790367996892902,0.8755584974350489,1.812790346489444
42,"ESTATUS_VICTIMA=DESAPARECIDA', 'GRUPO_EDAD=50+",SEXO=HOMBRE,0.0733977159843748,0.8729679310651152,1.8074267371805133
43,GRUPO_EDAD=50+,"SEXO=HOMBRE', 'ESTATUS_VICTIMA=DESAPARECIDA",0.0733977159843748,0.8130895250703294,1.7902009084540569
44,SEXO=HOMBRE,GRUPO_EDAD=31-50,0.1671185402615638,0.3460087217393994,1.7247233703470948
45,GRUPO_EDAD=31-50,SEXO=HOMBRE,0.1671185402615638,0.8330230826507818,1.7247233703470948
46,SEXO=HOMBRE,"ESTATUS_VICTIMA=DESAPARECIDA', 'GRUPO_EDAD=31-50",0.156654492221052,0.3243435499335044,1.7234347291323215
47,"ESTATUS_VICTIMA=DESAPARECIDA', 'GRUPO_EDAD=31-50",SEXO=HOMBRE,0.156654492221052,0.8324006826209468,1.7234347291323215
48,"SEXO=HOMBRE', 'ESTATUS_VICTIMA=DESAPARECIDA",GRUPO_EDAD=31-50,0.156654492221052,0.3449103765827989,1.7192485327453906
49,GRUPO_EDAD=31-50,"SEXO=HOMBRE', 'ESTATUS_VICTIMA=DESAPARECIDA",0.156654492221052,0.7808637379002233,1.7192485327453906
50,AÑO_DESAPARICION=2025.0,ESTATUS_VICTIMA=DESAPARECIDA,0.0511774854914965,0.9985426989215972,1.6736381158287437
51,AÑO_DESAPARICION=2024.0,ESTATUS_VICTIMA=DESAPARECIDA,0.0598415081374592,0.9960218796618596,1.6694130193949426
52,SEXO=MUJER,ESTATUS_VICTIMA=DESAPARECIDA,0.139796992986623,0.9493304930006088,1.5911544887566815
53,SEXO=HOMBRE,ESTATUS_VICTIMA=DESAPARECIDA,0.4541889802594725,0.940370519283704,1.5761368500060997
54,ESTATUS_VICTIMA=DESAPARECIDA,SEXO=HOMBRE,0.4541889802594725,0.7612573703383783,1.5761368500060997
55,"SEXO=HOMBRE', 'GRUPO_EDAD=18-30",ESTATUS_VICTIMA=DESAPARECIDA,0.0595950316311516,0.9393689663291735,1.5744581664590336
56,ESTATUS_VICTIMA=DESAPARECIDA,GRUPO_EDAD=31-50,0.1881960160433798,0.3154317046606827,1.5723084378966805
57,GRUPO_EDAD=31-50,ESTATUS_VICTIMA=DESAPARECIDA,0.1881960160433798,0.9380863737900224,1.5723084378966805
58,"SEXO=HOMBRE', 'GRUPO_EDAD=31-50",ESTATUS_VICTIMA=DESAPARECIDA,0.156654492221052,0.9373854748603352,1.57113367474901
59,GRUPO_EDAD=18-30,ESTATUS_VICTIMA=DESAPARECIDA,0.0874618148139849,0.9348555005588376,1.566893233726682
