,antecedents,consequents,support,confidence,lift
0,ORIGEN_REPORTE=PROCURADURIA GENERAL DE JUSTICIA DEL ESTADO DE TAMAULIPAS,ESTATUS_VICTIMA=DESAPARECIDA,0.0542995212380589,0.6015721969383533,1.0082835308957736
7,ESTATUS_VICTIMA=CONFIDENCIAL,SEXO=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
8,SEXO=CONFIDENCIAL,ESTATUS_VICTIMA=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
9,ENTIDAD=JALISCO,SEXO=CONFIDENCIAL,0.0746898503962296,0.6751738572682466,1.8392439770508808
10,SEXO=CONFIDENCIAL,MUNICIPIO=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
11,MUNICIPIO=CONFIDENCIAL,SEXO=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
12,SEXO=HOMBRE,ESTATUS_VICTIMA=DESAPARECIDA,0.4541889802594725,0.940370519283704,1.5761368500060997
13,ESTATUS_VICTIMA=DESAPARECIDA,SEXO=HOMBRE,0.4541889802594725,0.7612573703383783,1.5761368500060997
14,GRUPO_EDAD=50+,SEXO=HOMBRE,0.0790367996892902,0.8755584974350489,1.812790346489444
15,GRUPO_EDAD=31-50,SEXO=HOMBRE,0.1671185402615638,0.8330230826507818,1.7247233703470948
16,SEXO=HOMBRE,GRUPO_EDAD=31-50,0.1671185402615638,0.3460087217393994,1.7247233703470948
17,GRUPO_EDAD=18-30,SEXO=HOMBRE,0.0634415589265574,0.6781095321730799,1.403984333870305
18,SEXO=MUJER,ESTATUS_VICTIMA=DESAPARECIDA,0.139796992986623,0.9493304930006088,1.5911544887566815
19,ENTIDAD=JALISCO,ESTATUS_VICTIMA=CONFIDENCIAL,0.0746898503962296,0.6751738572682466,1.8392439770508808
20,ESTATUS_VICTIMA=CONFIDENCIAL,MUNICIPIO=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
21,MUNICIPIO=CONFIDENCIAL,ESTATUS_VICTIMA=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
22,ENTIDAD=ESTADO DE MÉXICO,ESTATUS_VICTIMA=DESAPARECIDA,0.0775131267412071,0.7235080870050195,1.2126579192153455
23,ENTIDAD=TAMAULIPAS,ESTATUS_VICTIMA=DESAPARECIDA,0.0608423521327686,0.6055605114481118,1.014968267751447
24,GRUPO_EDAD=50+,ESTATUS_VICTIMA=DESAPARECIDA,0.0840783645910357,0.9314082409399304,1.5611153485149718
25,GRUPO_EDAD=31-50,ESTATUS_VICTIMA=DESAPARECIDA,0.1881960160433798,0.9380863737900224,1.5723084378966805
26,ESTATUS_VICTIMA=DESAPARECIDA,GRUPO_EDAD=31-50,0.1881960160433798,0.3154317046606827,1.5723084378966805
27,GRUPO_EDAD=18-30,ESTATUS_VICTIMA=DESAPARECIDA,0.0874618148139849,0.9348555005588376,1.566893233726682
28,AÑO_DESAPARICION=2025.0,ESTATUS_VICTIMA=DESAPARECIDA,0.0511774854914965,0.9985426989215972,1.6736381158287437
29,AÑO_DESAPARICION=2024.0,ESTATUS_VICTIMA=DESAPARECIDA,0.0598415081374592,0.9960218796618596,1.6694130193949426
30,ENTIDAD=JALISCO,MUNICIPIO=CONFIDENCIAL,0.0746898503962296,0.6751738572682466,1.8392439770508808
31,"ENTIDAD=TAMAULIPAS', 'ORIGEN_REPORTE=PROCURADURIA GENERAL DE JUSTICIA DEL ESTADO DE TAMAULIPAS",ESTATUS_VICTIMA=DESAPARECIDA,0.0539335409711174,0.6014492753623188,1.0080775044182568
36,"ESTATUS_VICTIMA=CONFIDENCIAL', 'ENTIDAD=JALISCO",SEXO=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
37,"ENTIDAD=JALISCO', 'SEXO=CONFIDENCIAL",ESTATUS_VICTIMA=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
38,ENTIDAD=JALISCO,"ESTATUS_VICTIMA=CONFIDENCIAL', 'SEXO=CONFIDENCIAL",0.0746898503962296,0.6751738572682466,1.8392439770508808
39,"ESTATUS_VICTIMA=CONFIDENCIAL', 'SEXO=CONFIDENCIAL",MUNICIPIO=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
40,"ESTATUS_VICTIMA=CONFIDENCIAL', 'MUNICIPIO=CONFIDENCIAL",SEXO=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
41,"MUNICIPIO=CONFIDENCIAL', 'SEXO=CONFIDENCIAL",ESTATUS_VICTIMA=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
42,ESTATUS_VICTIMA=CONFIDENCIAL,"MUNICIPIO=CONFIDENCIAL', 'SEXO=CONFIDENCIAL",0.3670931457124291,1.0,2.7241042544100598
43,SEXO=CONFIDENCIAL,"ESTATUS_VICTIMA=CONFIDENCIAL', 'MUNICIPIO=CONFIDENCIAL",0.3670931457124291,1.0,2.7241042544100598
44,MUNICIPIO=CONFIDENCIAL,"ESTATUS_VICTIMA=CONFIDENCIAL', 'SEXO=CONFIDENCIAL",0.3670931457124291,1.0,2.7241042544100598
45,"ENTIDAD=JALISCO', 'SEXO=CONFIDENCIAL",MUNICIPIO=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
46,"ENTIDAD=JALISCO', 'MUNICIPIO=CONFIDENCIAL",SEXO=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
