,antecedente,consecuente,soporte,confianza,lift
10,"ENTIDAD=JALISCO', 'ESTATUS_VICTIMA=CONFIDENCIAL', 'MUNICIPIO=CONFIDENCIAL",SEXO=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
11,"ENTIDAD=JALISCO', 'SEXO=CONFIDENCIAL",ESTATUS_VICTIMA=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
12,"ENTIDAD=JALISCO', 'SEXO=CONFIDENCIAL', 'MUNICIPIO=CONFIDENCIAL",ESTATUS_VICTIMA=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
13,ESTATUS_VICTIMA=CONFIDENCIAL,"SEXO=CONFIDENCIAL', 'MUNICIPIO=CONFIDENCIAL",0.3670931457124291,1.0,2.7241042544100598
14,SEXO=CONFIDENCIAL,MUNICIPIO=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
15,"ENTIDAD=JALISCO', 'SEXO=CONFIDENCIAL",MUNICIPIO=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
16,MUNICIPIO=CONFIDENCIAL,SEXO=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
17,ESTATUS_VICTIMA=CONFIDENCIAL,SEXO=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
18,SEXO=CONFIDENCIAL,ESTATUS_VICTIMA=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
19,MUNICIPIO=CONFIDENCIAL,ESTATUS_VICTIMA=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
20,ESTATUS_VICTIMA=CONFIDENCIAL,MUNICIPIO=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
21,"ENTIDAD=JALISCO', 'ESTATUS_VICTIMA=CONFIDENCIAL",MUNICIPIO=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
22,"ESTATUS_VICTIMA=CONFIDENCIAL', 'MUNICIPIO=CONFIDENCIAL",SEXO=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
23,"SEXO=CONFIDENCIAL', 'MUNICIPIO=CONFIDENCIAL",ESTATUS_VICTIMA=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
24,"ENTIDAD=JALISCO', 'MUNICIPIO=CONFIDENCIAL",ESTATUS_VICTIMA=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
25,"ENTIDAD=JALISCO', 'ESTATUS_VICTIMA=CONFIDENCIAL",SEXO=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
26,"ENTIDAD=JALISCO', 'SEXO=CONFIDENCIAL', 'ESTATUS_VICTIMA=CONFIDENCIAL",MUNICIPIO=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
27,"ENTIDAD=JALISCO', 'ESTATUS_VICTIMA=CONFIDENCIAL","SEXO=CONFIDENCIAL', 'MUNICIPIO=CONFIDENCIAL",0.0746898503962296,1.0,2.7241042544100598
28,"ENTIDAD=JALISCO', 'SEXO=CONFIDENCIAL","ESTATUS_VICTIMA=CONFIDENCIAL', 'MUNICIPIO=CONFIDENCIAL",0.0746898503962296,1.0,2.7241042544100598
29,MUNICIPIO=CONFIDENCIAL,"SEXO=CONFIDENCIAL', 'ESTATUS_VICTIMA=CONFIDENCIAL",0.3670931457124291,1.0,2.7241042544100598
30,SEXO=CONFIDENCIAL,"ESTATUS_VICTIMA=CONFIDENCIAL', 'MUNICIPIO=CONFIDENCIAL",0.3670931457124291,1.0,2.7241042544100598
31,"ENTIDAD=JALISCO', 'MUNICIPIO=CONFIDENCIAL",SEXO=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
32,"SEXO=CONFIDENCIAL', 'ESTATUS_VICTIMA=CONFIDENCIAL",MUNICIPIO=CONFIDENCIAL,0.3670931457124291,1.0,2.7241042544100598
33,"ENTIDAD=JALISCO', 'MUNICIPIO=CONFIDENCIAL","SEXO=CONFIDENCIAL', 'ESTATUS_VICTIMA=CONFIDENCIAL",0.0746898503962296,1.0,2.7241042544100598
34,ENTIDAD=JALISCO,MUNICIPIO=CONFIDENCIAL,0.0746898503962296,0.6751738572682466,1.8392439770508808
35,ENTIDAD=JALISCO,"SEXO=CONFIDENCIAL', 'ESTATUS_VICTIMA=CONFIDENCIAL",0.0746898503962296,0.6751738572682466,1.8392439770508808
36,ENTIDAD=JALISCO,"ESTATUS_VICTIMA=CONFIDENCIAL', 'MUNICIPIO=CONFIDENCIAL",0.0746898503962296,0.6751738572682466,1.8392439770508808
37,ENTIDAD=JALISCO,ESTATUS_VICTIMA=CONFIDENCIAL,0.0746898503962296,0.6751738572682466,1.8392439770508808
38,ENTIDAD=JALISCO,"SEXO=CONFIDENCIAL', 'MUNICIPIO=CONFIDENCIAL",0.0746898503962296,0.6751738572682466,1.8392439770508808
39,ENTIDAD=JALISCO,SEXO=CONFIDENCIAL,0.0746898503962296,0.6751738572682466,1.8392439770508808
40,ENTIDAD=JALISCO,"SEXO=CONFIDENCIAL', 'ESTATUS_VICTIMA=CONFIDENCIAL', 'MUNICIPIO=CONFIDENCIAL",0.0746898503962296,0.6751738572682466,1.8392439770508808
41,GRUPO_EDAD=50+,SEXO=HOMBRE,0.0790666756294487,0.8755996691480563,1.81287559000442
42,"ESTATUS_VICTIMA=DESAPARECIDA', 'GRUPO_EDAD=50+",SEXO=HOMBRE,0.0734275919245333,0.8730130539028507,1.8075201612577083
43,GRUPO_EDAD=50+,"ESTATUS_VICTIMA=DESAPARECIDA', 'SEXO=HOMBRE",0.0734275919245333,0.8131513647642681,1.790337062558684
44,SEXO=HOMBRE,GRUPO_EDAD=31-50,0.1671260092466034,0.3460241858163486,1.7246078310834037
45,GRUPO_EDAD=31-50,SEXO=HOMBRE,0.1671260092466034,0.8329672784126867,1.7246078310834037
46,"ESTATUS_VICTIMA=DESAPARECIDA', 'GRUPO_EDAD=31-50",SEXO=HOMBRE,0.1566619612060917,0.83234126984127,1.723311718603874
47,SEXO=HOMBRE,"ESTATUS_VICTIMA=DESAPARECIDA', 'GRUPO_EDAD=31-50",0.1566619612060917,0.3243590140104537,1.723311718603874
48,GRUPO_EDAD=31-50,"ESTATUS_VICTIMA=DESAPARECIDA', 'SEXO=HOMBRE",0.1566619612060917,0.7808137587015599,1.719138492209764
49,"ESTATUS_VICTIMA=DESAPARECIDA', 'SEXO=HOMBRE",GRUPO_EDAD=31-50,0.1566619612060917,0.3449268212465055,1.719138492209764
